id,routeDate,parcels,firstToLastStopActualDurationHours,firstToLastStopEstimatedTravelTimeHours,routeCentroidLatitude,routeCentroidLongitude
VisCY6I2g8k8OAD06DKQVw==,04/08/2025,50,5.892222222,0.836388889,51.43503099,-0.163600968
Y4v9cYKpzFUnHudmqlG1wA==,13/08/2025,87,5.545,1.722777778,51.41355269,0.017358455
APnKm2V92aevhrU6Ls5KDw==,29/07/2025,81,5.729722222,0.938611111,51.58499996,-0.202498921
l4B6WvUJV/M4sYsFAn6UWQ==,13/08/2025,61,5.945,0.9,51.4453209,-0.211423996
ePoUUjVdaJD6ECY6DsWbUw==,08/08/2025,98,10.59944444,1.611666667,51.4127993,-0.308444406
VHQZWlQaf9Mo6tGiD9nPtg==,05/08/2025,77,5.681666667,1.184722222,51.53455523,-0.230006681
YKoxe5sk+GF/40G6byS58Q==,29/07/2025,81,5.858333333,0.8,51.46904872,-0.194509888
hR2mn8dnhkLfStAm8Rlj/A==,20/07/2025,75,5.865,2.373055556,51.62946529,-0.104768687
buczq9fgk1Uq/IjlXSwUjQ==,02/08/2025,72,8.415555556,1.255277778,51.58914908,-0.043504434
J9/HJ8lM+lnzuY4SUk0tgg==,26/07/2025,75,8.1575,1.761111111,51.6148503,-0.020671943
h1jlE6o9ldhyZ38lNoK2rQ==,18/07/2025,98,9.505555556,2.294722222,51.49340437,-0.408215311
s9/6ILNQc600Nw56sGTeTA==,13/08/2025,37,3.023333333,0.365,51.51420994,-0.147459845
eU6vjlDszMANSjUdILnx2Q==,12/08/2025,72,9.471111111,0.928611111,51.50506333,-0.12759259
qZyAt2h9kUCjwZ1EiHOyFQ==,27/07/2025,55,6.560277778,1.878055556,51.36063111,-0.41202895
YIvkjHGJqPGSKcMukyS+1g==,31/07/2025,93,6.327777778,1.618333333,51.47450539,0.02064902
VX6FKbc9mUF3kWCEWrFpHg==,07/08/2025,80,10.34888889,1.464166667,51.50401845,0.003906617
gd7JQuhCGFACW/Sk1/qVUw==,12/08/2025,64,6.289166667,0.928888889,51.5840993,-0.14211453
OBMkAXf8O3G0zblz5QGaGA==,18/07/2025,64,9.316388889,0.796666667,51.51327568,-0.0029546
atDzv4FTEYu2LPpJRxY2jA==,28/07/2025,88,8.818888889,2.127222222,51.48850463,-0.429388031
fZ4YTJOlnnXfktllGd1vNg==,08/08/2025,78,7.070277778,1.076944444,51.51311171,-0.194841883
GGUNmRccF9gvIxhWk/kIwA==,18/07/2025,90,10.42277778,1.493888889,51.48660802,-0.285530602
1wvpl17X3pcIj+5r10nYvg==,26/07/2025,59,4.114722222,0.969166667,51.6412248,-0.183859504
ahqbLn1Esm3ZmUvyL8IQSA==,23/07/2025,54,6.463333333,1.648611111,51.44045748,0.197866433
lBYTjF6eG4IvaKW9WFshnA==,03/08/2025,70,4.725,2.405277778,51.3289538,-0.25706069
vfzu4/3juuo4N/aPPnHfqw==,23/07/2025,84,7.433055556,1.521666667,51.60597007,-0.291996332
6r13Nb7cTr13L8RoKuTQbQ==,07/08/2025,63,5.970833333,0.812222222,51.49519952,-0.201163353
r736LHrt3Wc6Y1sZ7jzZbA==,23/07/2025,51,3.934444444,2.003888889,51.60951047,-0.400741353
xQCpcjeqqUESEjSUQmHGeA==,31/07/2025,69,8.306944444,1.591111111,51.3703023,-0.476119957
hqGoGbAex4Zb4qez5rOh9Q==,22/07/2025,71,8.25,2.036388889,51.65839778,-0.030535873
ApC59f/4w9/mGQjwWU0+vg==,06/08/2025,69,5.2475,1.075833333,51.54721442,-0.223169953
xx7EvpdODEetalmMFfttHg==,26/07/2025,74,7.702222222,1.890555556,51.58569899,0.117087785
J8rVvPQxzTVmc7KFDsqshg==,01/08/2025,81,10.8575,1.195555556,51.4888987,-0.049170953
ix3As4ty+UmLmmPd1fyIqg==,30/07/2025,56,3.569722222,1.822222222,51.58596448,-0.368937329
d6ytpij0vk6+lth+moVF1A==,06/08/2025,76,5.436666667,2.405,51.60355526,-0.428391329
UCnnLwAmzpiK/x2EAXiBVQ==,10/08/2025,30,3.461944444,0.552222222,51.52682904,-0.097740783
iysvNDqQXUdg18o7ODsTSw==,11/08/2025,83,5.565277778,1.197777778,51.49656533,-0.220820582
RuAotY40F9USDHI/9yyyhA==,02/08/2025,70,6.010833333,0.906666667,51.53471169,-0.223922703
A+tobavssX/wRO2E2Qywag==,08/08/2025,81,9.348333333,1.583333333,51.63943789,-0.14006173
9sJP//nzOlx8qYSyHQD9Ng==,31/07/2025,71,7.327777778,1.3975,51.59218855,-0.112073417
htzhfcF7BvrnKsXAxdJpIw==,10/08/2025,56,6.246944444,0.973611111,51.44655823,-0.106169307
8OlJjyTYGfbcSO2G4sZUZw==,20/07/2025,90,5.561111111,1.308333333,51.59176926,-0.229007761
KrUGfODfgO4RNN2eO3agpw==,25/07/2025,40,5.274166667,0.574444444,51.47706215,-0.15721149
wRXgNzQZS+914UviYJPBxw==,13/08/2025,95,6.600555556,1.579166667,51.43001453,-0.317191217
vYZ+1NtbXuDG1Bc3K6Mi6g==,29/07/2025,45,4.397222222,0.956944444,51.64637029,-0.391339802
AbAdcemmP5fiu/GrzSJziw==,30/07/2025,55,6.344166667,1.171944444,51.59026675,-0.084110069
fDV44oCGcAxfAracBi0B2g==,30/07/2025,66,7.069444444,0.650833333,51.53230988,-0.092791777
SDmYnCcLyjhbtx2Fi4Apxg==,18/07/2025,62,5.048611111,1.955555556,51.41016642,-0.495758271
sP4iJoQAt/g3kEoNEeXktQ==,24/07/2025,62,5.179444444,0.905833333,51.48024313,-0.105940943
6p1llileUc6MaXeGdAqhLg==,02/08/2025,83,5.598333333,0.986388889,51.57578332,-0.205037566
RIMDCAhh6IwwWGyBnElQ7Q==,24/07/2025,71,7.1775,0.74,51.52979613,-0.187215342
NSKdbrclgd8C3R3ArCzrpA==,29/07/2025,74,6.623055556,2.003611111,51.42323004,-0.469995102
kPCUI7OwvaERRMyR1tmjIQ==,12/08/2025,48,5.240277778,1.134166667,51.39526077,-0.360319959
glxU2iQ7h5M0xnVVNX+qSA==,19/07/2025,78,5.887777778,1.660555556,51.40157598,-0.014614188
1+T+W5C+ONeZeXEnf0XHCg==,07/08/2025,47,4.144166667,0.5475,51.51620948,-0.025235582
ZpBYP0wjVs58NFGV5xfcRg==,22/07/2025,47,4.901666667,1.311111111,51.54535452,-0.361938986
OQMn5az+lDNFRy2jgAbpBA==,23/07/2025,85,5.808888889,1.910277778,51.6168911,0.016276759
5khMjzJcgka0zKGbeg7d+A==,28/07/2025,38,4.119444444,0.355277778,51.52707589,-0.189233128
BsOEghk0xX9U3FxRWIfMkg==,08/08/2025,97,9.23,1.444166667,51.46957945,-0.02096616
N7KIgT82z0EKKazRBAmS8Q==,02/08/2025,85,6.804722222,1.491944444,51.46180228,-0.086958025
X4a/qA6r6yR1MDkAzIgyyw==,13/08/2025,71,6.352777778,0.848611111,51.50538969,-0.18005792
9mylbIYDMfR/kHFk4DZTTg==,31/07/2025,46,4.69,1.513055556,51.31702063,-0.155151166
q5UNG++9BRmhwIOdqzc/Ag==,21/07/2025,82,10.97444444,1.521666667,51.60896963,-0.232275489
ye43xtJBDJ5jbsqlS7XkDQ==,29/07/2025,44,3.981388889,0.549444444,51.53380034,-0.076886022
Fgv4I1WSLhOQIyIDB50sgA==,24/07/2025,79,5.140277778,1.501111111,51.39536141,-0.087411749
Hx69uIeaXrHPq9LoGehvrg==,13/08/2025,63,5.546111111,1.671388889,51.49146629,-0.377843691
l+MxeAswv9hRs51jgC+l+Q==,28/07/2025,98,10.56694444,2.599166667,51.44232867,0.168886673
d9OWwTWhwejdr83HBQJOvA==,29/07/2025,67,4.905,1.341388889,51.45476161,-0.347093176
6n3Ca2Ol7iRiwjXoFL+zJg==,03/08/2025,98,8.073888889,2.148333333,51.39723049,-0.393091206
/7xaP7u20AT5J7pg8frWiQ==,19/07/2025,61,5.2375,1.572777778,51.66149121,-0.383276963
WBkXGQMKEdPgSNSFt0cMIQ==,31/07/2025,68,7.995555556,1.120277778,51.46021183,-0.11528738
1OlvzLDVoQc0jXxnWCDkjQ==,30/07/2025,68,5.118888889,0.705833333,51.51697068,-0.1815934
ngvijtBNbTJdZQ3JMr4fsw==,29/07/2025,92,6.034444444,1.968333333,51.44913338,0.013594153
fslQoqj5YPxhtRPtBPFkWg==,18/07/2025,74,5.267777778,1.173055556,51.61185911,-0.268059293
0O1lGUY7/aRAiMqAEV1QAA==,21/07/2025,76,9.818055556,1.008055556,51.47538098,-0.131798345
sloxCNQd1YyqzqUOXD8mhA==,07/08/2025,61,7.33,1.563333333,51.52285297,-0.335538368
rqq/R8dYUNSyUdYgDGkLtA==,11/08/2025,78,8.839444444,0.9675,51.52840255,-0.144375246
DqvgFfw59CwNa8ImDD8r4Q==,06/08/2025,79,6.849444444,1.088888889,51.61533912,-0.187074558
5XynC5FNsP14rkkUdJME6Q==,07/08/2025,60,4.649722222,1.918055556,51.55905602,-0.38706392
Vw6o2cv3a2RkY9lTJsb+wQ==,08/08/2025,62,5.461944444,0.801111111,51.48726584,-0.170325073
F2qB9w/zfLeH3/i7AabAZQ==,18/07/2025,51,4.183333333,1.585833333,51.43415125,-0.425838327
d03mSEsepkKYS2bjWwmq7A==,31/07/2025,69,7.699722222,0.921111111,51.48690824,-0.202132363
mvvL+hQ3C/hwcNMrN09GAg==,18/07/2025,88,8.560555556,1.503888889,51.45713294,0.018065634
Os4GXBc20g2Loqcindut7Q==,13/08/2025,71,6.237777778,1.151388889,51.44697717,-0.109354118
so4rEMkNd+R204Fv03u5Nw==,21/07/2025,73,8.086666667,0.868333333,51.44404439,-0.14868623
FF9msrALHvc2glq4KaLuhg==,19/07/2025,77,8.191944444,1.728055556,51.44392068,0.092734749
Rdr+3sRIh1+oaDeeIYFe6Q==,26/07/2025,56,3.773055556,1.153055556,51.38168352,-0.093697178
jdL38857s95cmhkKriqr2A==,24/07/2025,67,6.576111111,0.915277778,51.44751774,-0.193610789
TdLu3SitZ1MLDRMtCVl0xQ==,21/07/2025,87,8.275,1.149722222,51.46078926,-0.121107061
IyVZVwlUD19nY0e/4t5PKg==,07/08/2025,81,7.793611111,2.064444444,51.43251433,0.120865922
fr+c+goBBHhx2RXiRQabow==,18/07/2025,73,5.860555556,2.294722222,51.38098351,0.024804136
mhxifgtwUMMxCeWyTRcFqQ==,06/08/2025,65,8.133055556,1.073611111,51.47116538,-0.057821562
vbpmGf1gL66usBT7VT3VUQ==,26/07/2025,45,3.983888889,1.372777778,51.39739745,-0.501938386
hHfXqPe9iHeMgKt1mqThFA==,08/08/2025,63,6.395277778,2.383611111,51.63383532,-0.4458078
CjtC/qe5DW7/EZt2ZqXHcQ==,31/07/2025,35,3.059722222,0.909722222,51.51982496,-0.380154057
M3vSGbK3Lb2/FFvSPEjAkA==,10/08/2025,67,9.658333333,1.754722222,51.40040847,-0.358586895
nC/aBI2xkzixCqf2PIBoyA==,12/08/2025,78,9.777222222,1.198611111,51.444555,-0.117721063
rsf3wBVCkEN7vTPpqV4TcA==,24/07/2025,43,7.085555556,0.891111111,51.60155695,-0.071564516
SCktE3F+5Q03WDxuATrG6Q==,19/07/2025,54,5.674722222,2.025277778,51.43044924,-0.441977912
0Da3LMnlagux+AuoeUUmTg==,04/08/2025,84,6.788055556,1.42,51.48522563,-0.024479726
63QDP1tJzDYtoKVd/bpnIQ==,08/08/2025,79,6.183888889,1.203333333,51.5974641,-0.246445916
j59ABda89MIXURhVxW6W7Q==,26/07/2025,71,9.334444444,1.645,51.59056023,-0.047746223
fiHneBOvYryezurvOoqBBw==,13/08/2025,69,6.952222222,0.857222222,51.51939851,-0.105570117
w/owikRNhRioxhUZlYim+Q==,22/07/2025,43,5.139444444,0.863333333,51.40638546,-0.269629996
LHoLa6mh1796js/1janldw==,24/07/2025,63,5.937222222,1.715277778,51.36321502,-0.174469787
v3Tlg6lc4n3oDB0OdGQJjQ==,30/07/2025,69,5.716944444,0.822222222,51.53050317,-0.199193489
NReiTcMQf+jnh2xyYGqHWg==,23/07/2025,74,5.501388889,1.611666667,51.38741206,-0.256428354
Uuve3IyZncl2OL3jE1sbtg==,20/07/2025,77,7.996944444,1.479722222,51.53257597,-0.03881818
7jRNUX1oGzVpUQldmABcHg==,29/07/2025,83,7.053888889,1.409444444,51.45413585,-0.066326622
xOoMP8X5l+o3AVLdFGxAzw==,25/07/2025,67,5.537222222,1.439722222,51.41274941,-0.362059756
oaFAp5QMUF5d+lW/VpA26w==,24/07/2025,48,4.180555556,0.7625,51.57821302,-0.140047368
hRYMRH6mhIKZu0KgwfmTlA==,02/08/2025,42,3.948055556,0.846666667,51.66511718,-0.28811202
kJssHl6nV74i6Vs0NsHfkQ==,28/07/2025,104,10.30444444,1.786944444,51.5328982,0.042293589
Nk5LrzJT5f5DSgxQAK0fYg==,22/07/2025,53,3.643611111,1.075833333,51.68315799,-0.26781178
bHyMThoMTBo87rAeBmb/jg==,23/07/2025,68,5.893888889,1.075277778,51.45100089,-0.042849477
m8NRVhz7cX7sVaLS/wovAA==,29/07/2025,57,5.716388889,1.819722222,51.2945355,-0.12522002
3zhlcctvUm+y0eegE1BImQ==,08/08/2025,43,4.463333333,0.58,51.53561949,-0.032252254
8okofKZHFf7BowLSuMtzAA==,23/07/2025,51,6.438055556,1.547777778,51.63802839,0.070193515
4emltQVyCkpXo0aHRTBEfw==,04/08/2025,80,7.061944444,2.111666667,51.59876061,0.052780522
HpmsQ20hoaYE7P9it5LOkA==,26/07/2025,67,6.006666667,0.971388889,51.54615699,-0.211013008
i+Snt6CZ/0Rr2nfYWmL/2A==,21/07/2025,88,8.176944444,1.860833333,51.62192975,-0.122978283
QcCiCbZHrXhzbIWRdDrLNw==,29/07/2025,64,9.709722222,2.150833333,51.57954895,0.220888339
xdA+G9RX70ORuOUKBgsd5g==,03/08/2025,85,8.522222222,1.5125,51.41128507,-0.033788306
NnSlJxYIzeyrLMGdKRlXFg==,24/07/2025,63,7.0225,0.855555556,51.46597858,-0.131758864
L8jFjsVjJtC0NOQhznEyhQ==,01/08/2025,74,7.157777778,0.921944444,51.46651232,-0.128549095
E43PB941M26AOYHX//fo0w==,13/08/2025,77,6.690833333,1.063888889,51.58472923,-0.15002125
m1RikBmPFpLQS9zi1b/h5A==,29/07/2025,75,6.820277778,1.881666667,51.35929403,-0.209262951
+JkwTpD09r54mONw0vti2A==,22/07/2025,112,9.715555556,1.667222222,51.54728332,0.020188211
HmaKnRYzWz3L465WTcKq/w==,20/07/2025,95,9.494166667,1.973611111,51.54236749,0.134933468
wB6m8A6a8Gn5H6eraXcF6A==,01/08/2025,38,2.254166667,0.365,51.45768857,-0.178335244
PW0nbHE8DXN7hpgCtLZmLA==,26/07/2025,76,5.327222222,1.624722222,51.39717173,0.031735041
F9OAbM4Jw3wYQbl9umDCww==,05/08/2025,71,8.049166667,1.217777778,51.61777144,-0.189931899
